date,country,pct_ili,pct_cli,pct_tested,region
2020-11-02,Sweden,1.86,2.19,6.34,
2020-11-02,Switzerland,1.42,1.52,7.86,
2020-11-02,Taiwan,0.3,0.31,0.81,
2020-11-02,Tanzania,7.41,7.41,9.81,
2020-11-02,Thailand,1.37,1.63,3.21,
2020-11-02,Tunisia,2.69,3.03,5.94,
2020-11-02,Turkey,1.74,1.96,6.44,
2020-11-02,Ukraine,5.38,5.67,8,
2020-11-02,United Arab Emirates,1.38,1.88,26.02,
2020-11-02,United Kingdom,1,1.12,6.79,
2020-11-02,Uruguay,0.51,0.55,2.92,
2020-11-02,Uzbekistan,4.78,4.78,18.12,
2020-11-02,Venezuela,1.89,2.05,4.61,
2020-11-02,Vietnam,1.21,1.25,3.55,
2020-11-02,Yemen,8.09,9.15,2.45,
2020-11-02,Zimbabwe,12.61,10.64,29.99,
2020-11-03,Afghanistan,17.8,17.78,16.28,
2020-11-03,Aland Islands,23.58,20.26,25.5,
2020-11-03,Albania,6.67,6.86,12.55,
2020-11-03,Algeria,6.61,7.11,7.25,
2020-11-03,American Samoa,13.23,14.23,30.3,
2020-11-03,Andorra,10.97,11.65,29.39,
2020-11-03,Angola,2.63,2.49,11.89,
2020-11-03,Argentina,1.44,1.69,5.02,
2020-11-03,Armenia,9.05,9.23,15.68,
2020-11-03,Australia,1.51,1.57,4.06,
2020-11-03,Austria,1.07,1.1,7.53,
2020-11-03,Azerbaijan,3.76,2.91,11.35,
2020-11-03,Bangladesh,7.78,7.91,6.61,
2020-11-03,Belarus,7.63,8.66,10.55,
2020-11-03,Belgium,1.37,1.55,10.47,
2020-11-03,Benin,2.97,2.97,7.6,
2020-11-03,Bolivia,4.1,4.38,6.67,
2020-11-03,Bosnia and Herzegovina,3.35,3.53,8.99,
2020-11-03,Brazil,1.65,1.84,4.91,
2020-11-03,Bulgaria,2.11,2.15,8.48,
2020-11-03,Burkina Faso,7.07,7.07,4.93,
2020-11-03,Cambodia,5.65,7.66,6.56,
2020-11-03,Cameroon,3.77,4.21,7.67,
2020-11-03,Canada,0.95,0.94,4.33,
2020-11-03,Chile,1.01,1.04,7.96,
2020-11-03,Colombia,2.52,2.83,6.22,
2020-11-03,Costa Rica,2.78,2.8,3.9,
2020-11-03,Croatia,2.36,2.51,4.79,
2020-11-03,Czech Republic,1.9,1.92,10.13,
2020-11-03,Côte d'Ivoire,4.01,3.78,6.51,
2020-11-03,Democratic Republic of the Congo,0.87,0.87,11.08,
2020-11-03,Denmark,0.89,0.97,14.82,
2020-11-03,Dominican Republic,2.34,2.73,6.6,
2020-11-03,Ecuador,2.84,3.49,7.89,
2020-11-03,Egypt,2.47,2.96,3.5,
2020-11-03,El Salvador,3.82,4.34,3.67,
2020-11-03,Ethiopia,2.29,2.51,10.85,
2020-11-03,Finland,0.82,0.88,4.34,
2020-11-03,France,1.21,1.27,9.75,
2020-11-03,Germany,0.62,0.65,6.73,
2020-11-03,Ghana,3.24,3.01,5.38,
2020-11-03,Greece,0.75,0.79,7.18,
2020-11-03,Guatemala,3.9,4.57,7.26,
2020-11-03,Haiti,3.16,3.6,4.53,
2020-11-03,Honduras,4.22,4.39,13.17,
2020-11-03,Hong Kong,0.41,0.34,6.33,
2020-11-03,Hungary,1.59,1.61,4.86,
2020-11-03,India,2.33,2.57,8.73,
2020-11-03,Indonesia,2.29,2.31,11.59,
2020-11-03,Iraq,9.45,11.34,14.15,
2020-11-03,Ireland,0.48,0.46,4.9,
2020-11-03,Israel,0.91,1.08,7.89,
2020-11-03,Italy,0.8,0.93,9.34,
2020-11-03,Japan,0.62,0.71,0.94,
2020-11-03,Jordan,7.34,7.94,12.97,
2020-11-03,Kazakhstan,1.52,1.5,7.97,
2020-11-03,Kenya,4.89,5.16,9.22,
2020-11-03,Kuwait,3.3,3.44,13.99,
2020-11-03,Kyrgyzstan,4.45,4.28,7.59,
2020-11-03,Laos,7.11,7.51,5.27,
2020-11-03,Lebanon,2.17,2.32,13.72,
2020-11-03,Libya,4,4.87,7.04,
2020-11-03,Madagascar,0,0,3.03,
2020-11-03,Malaysia,0.91,1.08,5.71,
2020-11-03,Mali,6.97,7.95,7.31,
2020-11-03,Mexico,2.07,2.35,4.2,
2020-11-03,Moldova,4.2,4.49,10.14,
2020-11-03,Morocco,3.41,4.1,8.33,
2020-11-03,Mozambique,1.22,1.68,10.1,
2020-11-03,Myanmar,4.41,4.57,8.82,
2020-11-03,Nepal,2.92,3.03,9.28,
2020-11-03,Netherlands,1.29,1.39,8.06,
2020-11-03,New Zealand,1.96,2.12,3.1,
2020-11-03,Nicaragua,2.11,2.46,1.58,
2020-11-03,Nigeria,8.19,8.44,5.71,
2020-11-03,Norway,1.55,1.68,5.32,
2020-11-03,Oman,1.27,1.27,9.67,
2020-11-03,Pakistan,6.13,6.69,7.65,
2020-11-03,Palestine,5.7,5.96,8.95,
2020-11-03,Panama,1.69,2.11,9.06,
2020-11-03,Paraguay,2.79,2.98,7,
2020-11-03,Peru,3.58,3.93,9.55,
2020-11-03,Philippines,0.86,0.93,4.99,
2020-11-03,Poland,3.97,4.17,8.84,
2020-11-03,Portugal,0.73,0.79,6.05,
2020-11-03,"Puerto Rico, U.S.",0.84,0.96,14.16,
2020-11-03,Qatar,0.94,1.77,12.31,
2020-11-03,Romania,1.05,1.08,7.02,
2020-11-03,Russia,5.69,5.87,13.96,
2020-11-03,Saudi Arabia,2.29,2.23,10.21,
2020-11-03,Senegal,6.18,6.18,4.29,
2020-11-03,Serbia,1.51,1.49,3.98,
2020-11-03,Singapore,0.52,0.52,6.84,
2020-11-03,Slovakia,0.83,1.02,40.31,
2020-11-03,Slovenia,1.26,1.15,4.02,
2020-11-03,South Africa,3.18,3.65,6.12,
2020-11-03,South Korea,0.78,1,2.52,
2020-11-03,Spain,0.8,0.93,8.4,
2020-11-03,Sri Lanka,0.35,0.35,2.74,
2020-11-03,Sudan,3.94,5.05,3.39,
2020-11-03,Sweden,1.91,2.22,6.4,
2020-11-03,Switzerland,1.52,1.59,8.07,
2020-11-03,Taiwan,0.33,0.34,0.74,
2020-11-03,Tanzania,8.35,8.35,8.6,
2020-11-03,Thailand,1.29,1.54,3.14,
2020-11-03,Tunisia,2.79,3.15,5.8,
2020-11-03,Turkey,1.8,2.03,6.56,
2020-11-03,Ukraine,5.33,5.68,7.78,
2020-11-03,United Arab Emirates,1.24,1.66,26.45,
2020-11-03,United Kingdom,0.91,1.03,6.54,
2020-11-03,Uruguay,0.42,0.47,2.91,
2020-11-03,Uzbekistan,4.36,4.54,16.51,
2020-11-03,Venezuela,1.92,1.98,4.53,
2020-11-03,Vietnam,1.24,1.27,3.42,
2020-11-03,Yemen,7.59,8.69,2.71,
2020-11-03,Zimbabwe,11.92,11.92,35.34,
2020-11-04,Afghanistan,18.83,18.68,17.38,
2020-11-04,Aland Islands,26.66,23.07,25.24,
2020-11-04,Albania,5.13,5.38,13.24,
2020-11-04,Algeria,6.25,6.54,6.94,
2020-11-04,American Samoa,15.21,16.3,30.99,
2020-11-04,Andorra,14.61,14.61,31.05,
2020-11-04,Angola,2.41,2.28,12.87,
2020-11-04,Argentina,1.43,1.59,5.1,
2020-11-04,Armenia,10.24,10.89,15.72,
2020-11-04,Australia,1.4,1.43,4.14,
2020-11-04,Austria,0.97,1.02,8.32,
2020-11-04,Azerbaijan,3.64,2.77,12.44,
2020-11-04,Bangladesh,7.83,7.92,7.15,
2020-11-04,Belarus,7.65,8.53,10.51,
2020-11-04,Belgium,1.32,1.45,10.22,
2020-11-04,Benin,2.93,2.93,9.23,
2020-11-04,Bolivia,4.52,4.8,6.42,
2020-11-04,Bosnia and Herzegovina,3.39,3.62,9.58,
2020-11-04,Brazil,1.73,1.92,4.87,
2020-11-04,Bulgaria,2.23,2.34,7.26,
2020-11-04,Burkina Faso,7.28,7.28,5.1,
2020-11-04,Cambodia,6.5,9.05,6.54,
2020-11-04,Cameroon,4.55,5.02,9.28,
2020-11-04,Canada,0.98,1.01,4.5,
2020-11-04,Chile,0.96,1,7.89,
2020-11-04,Colombia,2.58,2.75,6.15,
2020-11-04,Costa Rica,2.48,2.56,3.65,
2020-11-04,Croatia,2.44,2.62,4.66,
2020-11-04,Czech Republic,1.73,1.74,9.96,
2020-11-04,Côte d'Ivoire,2.76,2.52,6.6,
2020-11-04,Democratic Republic of the Congo,1.35,2.63,10.29,
2020-11-04,Denmark,0.93,1.01,15.07,
2020-11-04,Dominican Republic,2.63,3.06,7.29,
2020-11-04,Ecuador,3.1,3.81,8.11,
2020-11-04,Egypt,2.44,2.84,3.65,
2020-11-04,El Salvador,4.02,4.38,4.2,
2020-11-04,Ethiopia,2.81,2.89,10.48,
2020-11-04,Finland,1.7,1.78,5.11,
2020-11-04,France,1.28,1.33,10.01,
2020-11-04,Germany,0.66,0.68,6.85,
2020-11-04,Ghana,2.92,2.67,5.5,
2020-11-04,Greece,0.78,0.84,7.38,
2020-11-04,Guatemala,3.4,3.98,6.03,
2020-11-04,Guinea,3.7,3.7,13.66,
2020-11-04,Haiti,3.39,3.87,4.47,
2020-11-04,Honduras,4.33,4.62,11.61,
2020-11-04,Hong Kong,0.47,0.4,6.6,
