country,database,country_name,region,pop
Arkansas_UnitedStates,JHU,United States,Arkansas,3013825
California_UnitedStates,JHU,United States,California,39557045
Colorado_UnitedStates,JHU,United States,Colorado,5695564
Connecticut_UnitedStates,JHU,United States,Connecticut,3572665
Delaware_UnitedStates,JHU,United States,Delaware,967171
DistrictofColumbia_UnitedStates,JHU,United States,District of Columbia,702455
Florida_UnitedStates,JHU,United States,Florida,21299325
Georgia_UnitedStates,JHU,United States,Georgia,10519475
Hawaii_UnitedStates,JHU,United States,Hawaii,1420491
Idaho_UnitedStates,JHU,United States,Idaho,1754208
Illinois_UnitedStates,JHU,United States,Illinois,12741080
Indiana_UnitedStates,JHU,United States,Indiana,6691878
Iowa_UnitedStates,JHU,United States,Iowa,3156145
Kansas_UnitedStates,JHU,United States,Kansas,2911505
Kentucky_UnitedStates,JHU,United States,Kentucky,4468402
Louisiana_UnitedStates,JHU,United States,Louisiana,4659978
Maine_UnitedStates,JHU,United States,Maine,1338404
Maryland_UnitedStates,JHU,United States,Maryland,5214287
Massachusetts_UnitedStates,JHU,United States,Massachusetts,6902149
Michigan_UnitedStates,JHU,United States,Michigan,9995915
Minnesota_UnitedStates,JHU,United States,Minnesota,5611179
Mississippi_UnitedStates,JHU,United States,Mississippi,2986530
Missouri_UnitedStates,JHU,United States,Missouri,5129507
Montana_UnitedStates,JHU,United States,Montana,1062305
Nebraska_UnitedStates,JHU,United States,Nebraska,1929268
Nevada_UnitedStates,JHU,United States,Nevada,3034392
NewHampshire_UnitedStates,JHU,United States,New Hampshire,1356458
NewJersey_UnitedStates,JHU,United States,New Jersey,8908520
NewMexico_UnitedStates,JHU,United States,New Mexico,2312950
NewYork_UnitedStates,JHU,United States,New York,19542209
NorthCarolina_UnitedStates,JHU,United States,North Carolina,10383620
NorthDakota_UnitedStates,JHU,United States,North Dakota,760077
Ohio_UnitedStates,JHU,United States,Ohio,11689442
Oklahoma_UnitedStates,JHU,United States,Oklahoma,3943079
Oregon_UnitedStates,JHU,United States,Oregon,4190713
Pennsylvania_UnitedStates,JHU,United States,Pennsylvania,12807060
RhodeIsland_UnitedStates,JHU,United States,Rhode Island,1057315
SouthCarolina_UnitedStates,JHU,United States,South Carolina,5084127
SouthDakota_UnitedStates,JHU,United States,South Dakota,882235
Tennessee_UnitedStates,JHU,United States,Tennessee,6770010
Texas_UnitedStates,JHU,United States,Texas,28701845
Utah_UnitedStates,JHU,United States,Utah,3161105
Vermont_UnitedStates,JHU,United States,Vermont,626299
Virginia_UnitedStates,JHU,United States,Virginia,8787824
Washington_UnitedStates,JHU,United States,Washington,7535591
WestVirginia_UnitedStates,JHU,United States,WestVirginia,1805832
Wisconsin_UnitedStates,JHU,United States,Wisconsin,5813568
Wyoming_UnitedStates,JHU,United States,Wyoming,577737
Anguilla_UnitedKingdom,JHU,United Kingdom,Anguilla,0
Bermuda_UnitedKingdom,JHU,United Kingdom,Bermuda,63973
BritishVirginIslands_UnitedKingdom,JHU,United Kingdom,British VirginIslands,29802
CaymanIslands_UnitedKingdom,JHU,United Kingdom,Cayman Islands,64174
ChannelIslands_UnitedKingdom,JHU,United Kingdom,Channel Islands,170499
FalklandIslands(IslasMalvinas)_UnitedKingdom,JHU,United Kingdom,Falkland Islands (Islas Malvinas),0
Gibraltar_UnitedKingdom,JHU,United Kingdom,Gibraltar,33718
IsleofMan_UnitedKingdom,JHU,United Kingdom,Isle of Man,84077
Montserrat_UnitedKingdom,JHU,United Kingdom,Montserrat,0
TurksandCaicosIslands_UnitedKingdom,JHU,United Kingdom,Turks and Caicos Islands,37665
FrenchGuiana_France,JHU,France,French Guiana,0
FrenchPolynesia_France,JHU,France,French Polynesia,277679
Guadeloupe_France,JHU,France,Guadeloupe,0
Martinique_France,JHU,France,Martinique,0
Mayotte_France,JHU,France,Mayotte,0
NewCaledonia_France,JHU,France,New Caledonia,284060
Reunion_France,JHU,France,Reunion,0
SaintBarthelemy_France,JHU,France,Saint Barthelemy,0
StMartin_France,JHU,France,St Martin,37264
FaroeIslands_Denmark,JHU,Denmark,Faroe Islands,48497
Greenland_Denmark,JHU,Denmark,Greenland,56025
Aruba_Netherlands,JHU,Netherlands,Aruba,105845
Curacao_Netherlands,JHU,Netherlands,Curacao,159800
SintMaarten_Netherlands,JHU,Netherlands,Sint Maarten,40654
BonaireSintEustatiusandSaba_Netherlands,JHU,Netherlands,Bonaire Sint Eustatius and Saba,0
