country,database,country_name,region,pop
BritishVirginIslands_UnitedKingdom,JHU,United Kingdom,British Virgin Islands,29802
CaymanIslands_UnitedKingdom,JHU,United Kingdom,Cayman Islands,64174
ChannelIslands_UnitedKingdom,JHU,United Kingdom,Channel Islands,170499
FalklandIslands(IslasMalvinas)_UnitedKingdom,JHU,United Kingdom,Falkland Islands (Islas Malvinas),3519
Gibraltar_UnitedKingdom,JHU,United Kingdom,Gibraltar,33718
IsleofMan_UnitedKingdom,JHU,United Kingdom,Isle of Man,84077
Montserrat_UnitedKingdom,JHU,United Kingdom,Montserrat,4992
TurksandCaicosIslands_UnitedKingdom,JHU,United Kingdom,Turks and Caicos Islands,37665
FrenchGuiana_France,JHU,France,French Guiana,290691
FrenchPolynesia_France,JHU,France,French Polynesia,277679
Guadeloupe_France,JHU,France,Guadeloupe,400124
Martinique_France,JHU,France,Martinique,375265
Mayotte_France,JHU,France,Mayotte,279471
NewCaledonia_France,JHU,France,New Caledonia,284060
Reunion_France,JHU,France,Reunion,859959
SaintBarthelemy_France,JHU,France,Saint Barthelemy,9889
StMartin_France,JHU,France,St Martin,37264
FaroeIslands_Denmark,JHU,Denmark,Faroe Islands,48497
Greenland_Denmark,JHU,Denmark,Greenland,56025
Aruba_Netherlands,JHU,Netherlands,Aruba,105845
Curacao_Netherlands,JHU,Netherlands,Curacao,159800
SintMaarten_Netherlands,JHU,Netherlands,Sint Maarten,40654
BonaireSintEustatiusandSaba_Netherlands,JHU,Netherlands,Bonaire Sint Eustatius and Saba,25987
