date,country,pct_ili,pct_cli,pct_tested,region
2020-05-04,Guinea,1.44,1.93,1.98,
2020-05-04,Haiti,0.94,1.64,0.98,
2020-05-04,Honduras,0.69,1.03,0.3,
2020-05-04,Hong Kong,0.56,0.72,0.22,
2020-05-04,Hungary,0.21,0.27,0.34,
2020-05-04,India,0.79,0.84,0.51,
2020-05-04,Indonesia,1.43,1.52,1.54,
2020-05-04,Iraq,2.1,2.3,1.83,
2020-05-04,Ireland,0.53,0.58,1.27,
2020-05-04,Israel,0.84,0.83,0.8,
2020-05-04,Italy,0.23,0.29,0.61,
2020-05-04,Japan,0.47,0.62,0.06,
2020-05-04,Jordan,0.69,0.81,0.43,
2020-05-04,Kazakhstan,0.79,0.99,1.08,
2020-05-04,Kenya,1.93,2.22,1.27,
2020-05-04,Kuwait,0.69,0.69,2.91,
2020-05-04,Kyrgyzstan,0.37,0.49,0.94,
2020-05-04,Laos,0.78,0.78,1.01,
2020-05-04,Lebanon,1.14,1.2,0.45,
2020-05-04,Libya,0.94,1.38,0.61,
2020-05-04,Madagascar,0,0,2.51,
2020-05-04,Malaysia,0.84,0.94,0.81,
2020-05-04,Mali,3.39,2.89,2.1,
2020-05-04,Mauritania,1.53,2.35,0,
2020-05-04,Mexico,1.29,1.49,0.29,
2020-05-04,Moldova,0.38,0.38,0.35,
2020-05-04,Morocco,0.84,1.05,0.28,
2020-05-04,Mozambique,0.78,0.86,2.37,
2020-05-04,Myanmar,3.14,3.1,3.22,
2020-05-04,Nepal,0.8,0.83,0.49,
2020-05-04,Netherlands,0.59,0.57,0.62,
2020-05-04,New Zealand,0.83,0.9,1.45,
2020-05-04,Nicaragua,2.02,2.52,0.34,
2020-05-04,Nigeria,3.48,3.7,1.19,
2020-05-04,Norway,1.07,1.16,0.9,
2020-05-04,Oman,0.01,0.01,0.5,
2020-05-04,Pakistan,1.99,2.02,1.83,
2020-05-04,Palestine,1.29,1.43,0.75,
2020-05-04,Panama,1.85,2.14,0.98,
2020-05-04,Paraguay,0.36,0.65,0.35,
2020-05-04,Peru,3.04,3.59,1.06,
2020-05-04,Philippines,0.54,0.55,0.28,
2020-05-04,Poland,0.52,0.63,0.41,
2020-05-04,Portugal,0.16,0.16,0.76,
2020-05-04,"Puerto Rico, U.S.",0.36,0.43,0.89,
2020-05-04,Qatar,0.93,1.42,2.19,
2020-05-04,Romania,0.38,0.38,0.31,
2020-05-04,Russia,1.59,1.86,1.01,
2020-05-04,Saudi Arabia,1.54,1.55,2,
2020-05-04,Senegal,2.11,0.88,1.42,
2020-05-04,Serbia,0.46,0.43,0.41,
2020-05-04,Singapore,0.04,0.04,0.41,
2020-05-04,Slovakia,0.35,0.53,0.3,
2020-05-04,Slovenia,0.13,0.51,0.33,
2020-05-04,South Africa,1.93,2.15,1.39,
2020-05-04,South Korea,0.62,0.81,0.28,
2020-05-04,Spain,0.73,0.81,0.97,
2020-05-04,Sri Lanka,0.56,0.69,0.11,
2020-05-04,Sudan,1.39,1.93,0.5,
2020-05-04,Sweden,2.4,2.71,0.54,
2020-05-04,Switzerland,0.4,0.42,0.64,
2020-05-04,Taiwan,0.21,0.25,0.18,
2020-05-04,Tanzania,4.15,4.49,0.9,
2020-05-04,Thailand,0.6,0.69,0.99,
2020-05-04,Tunisia,0.48,0.73,0.72,
2020-05-04,Turkey,0.59,0.59,0.67,
2020-05-04,Ukraine,0.94,1.07,0.34,
2020-05-04,United Arab Emirates,1.26,1.36,2.43,
2020-05-04,United Kingdom,1.04,1.11,0.95,
2020-05-04,Uruguay,0.61,0.65,0.32,
2020-05-04,Uzbekistan,0.38,0.38,0.5,
2020-05-04,Venezuela,0.51,0.71,0.69,
2020-05-04,Vietnam,0.36,0.38,1.01,
2020-05-04,Yemen,2.58,3.24,0.3,
2020-05-05,Afghanistan,7.86,8.76,5.31,
2020-05-05,Aland Islands,17.98,17.98,8.87,
2020-05-05,Albania,2.49,2.62,2.16,
2020-05-05,Algeria,1.45,1.45,0.75,
2020-05-05,American Samoa,3.21,3.21,1.65,
2020-05-05,Andorra,22.87,22.87,0.94,
2020-05-05,Angola,0.67,0.3,0.54,
2020-05-05,Argentina,0.49,0.53,0.23,
2020-05-05,Armenia,2.85,2.06,2.15,
2020-05-05,Australia,1.02,1.02,1.65,
2020-05-05,Austria,0.3,0.41,0.97,
2020-05-05,Azerbaijan,0.65,0.65,1.21,
2020-05-05,Bahamas,2.73,2.73,1.44,
2020-05-05,Bahrain,2.69,2.19,0.12,
2020-05-05,Bangladesh,2.55,2.89,1.21,
2020-05-05,Belarus,2.48,2.96,1.43,
2020-05-05,Belgium,0.55,0.59,0.99,
2020-05-05,Belize,0,0,0,
2020-05-05,Benin,1.39,1.81,1.03,
2020-05-05,Bolivia,1.2,1.53,0.25,
2020-05-05,Bosnia and Herzegovina,0.83,1.05,0.34,
2020-05-05,Botswana,0.55,0.55,0,
2020-05-05,Brazil,2.22,2.38,0.7,
2020-05-05,Bulgaria,0.38,0.44,0.57,
2020-05-05,Burkina Faso,2.41,3.9,0.8,
2020-05-05,Cambodia,3.02,3.71,1.44,
2020-05-05,Cameroon,2.27,2.35,3.57,
2020-05-05,Canada,0.66,0.7,0.94,
2020-05-05,Chile,0.62,0.78,0.8,
2020-05-05,Colombia,0.83,0.99,0.14,
